INDICATOR_CODE,REGISTER_FLAG,ZERO_REGISTER_FLAG,NO_PREVALENCE_FLAG,GROUP_CODE,GROUP_DESCRIPTION,PUB_ORDER,HIGHER_GROUP_CODE,HIGHER_GROUP_DESCRIPTION,SUB_DOMAIN_CODE,SUB_DOMAIN_DESCRIPTION,DOMAIN_CODE,DOMAIN_DESCRIPTION,ALT_PAT_LIST,ADD_PAT_LIST,INDICATOR_POINT_VALUE,AUTOMATIC_MANUAL_ENTRY,INDICATOR_GROUP_CHANGE_NOTE,PCAS,PCA_COUNT_1
DM014,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,11,A,4,1,
DM017,1,1,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,6,A,4,1,
DM019,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,10,A,4,1,
DM020,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,17,A,4,1,
DM021,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,10,A,4,1,
DM022,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,40OV,4,A,4,1,
DM023,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,2,A,4,1,
EP001,1,1,,EP,Epilepsy,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,18OV,,1,A,,,
HF001,1,1,,HF,Heart failure,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,4,A,3,1,
HF003,,,,HF,Heart failure,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,6,A,3,1,
HF005,,,,HF,Heart failure,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,6,A,3,1,
HF006,,,,HF,Heart failure,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,6,A,3,1,
HF007,,,,HF,Heart failure,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,7,A,3,1,
HYP001,1,1,,HYP,Hypertension,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,6,A,,1,
HYP003,,,,HYP,Hypertension,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,79UN,14,A,,1,
HYP007,,,,HYP,Hypertension,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,80OV,5,A,,1,
LD004,1,1,,LD,Learning disability,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,4,A,,,
MH001,1,1,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,4,A,3,1,
MH002,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,6,A,3,1,
MH003,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,4,A,3,1,
MH006,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,4,A,3,1,
MH007,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,4,A,3,1,
MH011,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,8,A,3,1,
MH012,,,,MH,Mental health,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,8,A,3,1,
NDH001,1,1,,NDH,Non-diabetic hyperglycaemia ,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,18OV,,18,A,3,1,
OB002,1,1,,OB,Obesity,3,LS,Lifestyle,PH,Public Health,PH,Public Health,18OV,,8,A,,,
OST004,1,1,,OST,Osteoporosis: secondary prevention of fragility fractures,6,MS,Musculoskeletal,CL,Clinical,CL,Clinical,50OV,,3,A,,,
PAD001,1,1,,PAD,Peripheral arterial disease,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,2,A,,,
PC001,1,,,PC,Palliative care,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,,,3,A,,,
QIPDD009,,,,QIPDD,Prescription Drug Dependency,10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,,,27,M,10,,
QIPDD010,,,,QIPDD,Prescription Drug Dependency,10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,,,10,M,10,,
QIOA011,,,,QIOA,Optimising Access,10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,,,27,M,10,,
QIOA012,,,,QIOA,Optimising Access,10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,,,10,M,10,,
RA001,1,1,,RA,Rheumatoid arthritis,6,MS,Musculoskeletal,CL,Clinical,CL,Clinical,16OV,,1,A,,1,
RA002,,,,RA,Rheumatoid arthritis,6,MS,Musculoskeletal,CL,Clinical,CL,Clinical,16OV,,5,A,,1,
SMOK002,,,1,SMOK,Smoking,3,LS,Lifestyle,PH,Public Health,PH,Public Health,15OV,,25,A,,1,
SMOK004,,,1,SMOK,Smoking,3,LS,Lifestyle,PH,Public Health,PH,Public Health,15OV,,12,A,,1,
SMOK005,,,1,SMOK,Smoking,3,LS,Lifestyle,PH,Public Health,PH,Public Health,15OV,,25,A,,1,
STIA001,1,1,,STIA,Stroke and transient ischaemic attack,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,2,A,3,1,
STIA007,,,,STIA,Stroke and transient ischaemic attack,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,4,A,3,1,
STIA010,,,,STIA,Stroke and transient ischaemic attack,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,79UN,3,A,3,1,
STIA011,,,,STIA,Stroke and transient ischaemic attack,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,80OV,2,A,3,1,
VI001,,,1,VI,Vaccination and immunisation,9,VI,Vaccination and immunisation,PHVI,Public Health Vaccination and Immunisation,PH,Public Health,,UN01,18,A,,1,1
VI002,,,1,VI,Vaccination and immunisation,9,VI,Vaccination and immunisation,PHVI,Public Health Vaccination and Immunisation,PH,Public Health,,1_2,18,A,,1,1
VI003,,,1,VI,Vaccination and immunisation,9,VI,Vaccination and immunisation,PHVI,Public Health Vaccination and Immunisation,PH,Public Health,,4_5,18,A,,1,1
VI004,,,1,VI,Vaccination and immunisation,9,VI,Vaccination and immunisation,PHVI,Public Health Vaccination and Immunisation,PH,Public Health,,79_80,10,A,,1,
QIPDDMI001,,,,QIPDD_MI,Prescription Drug Dependency (management information),10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,18OV,,0,A,10,1,
QIPDDMI002,,,,QIPDD_MI,Prescription Drug Dependency (management information),10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,18OV,,0,A,10,1,
QIPDDMI003,,,,QIPDD_MI,Prescription Drug Dependency (management information),10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,18OV,,0,A,10,1,
QIPDDMI004,,,,QIPDD_MI,Prescription Drug Dependency (management information),10,QI,Quality improvement,QI,Quality improvement,QI,Quality improvement,18OV,,0,A,10,1,
